age,gender,marital_status,education_level,annual_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,loan_term,num_of_open_accounts,total_credit_limit,delinquency_history,loan_paid_back
70,Male,Married,High School,37277.48,Employed,0.413,715,24856.54,Business,36,10,43277.07,0,1
28,Male,Single,Master's,31645.62,Employed,0.192,500,15117.67,Debt consolidation,60,8,41531.88,0,1
61,Male,Divorced,Bachelor's,24711.01,Unemployed,0.101,638,2912.92,Debt consolidation,36,5,31286.35,0,0
26,Female,Single,High School,52526.3,Retired,0.067,687,17688.15,Debt consolidation,36,5,32887.58,4,1
25,Female,Single,High School,22992.62,Student,0.081,693,8082.54,Other,36,7,22512.53,2,1
64,Male,Widowed,Bachelor's,28584,Employed,0.333,697,13711.33,Car,36,4,35085.34,2,1
49,Male,Married,Master's,70983.03,Employed,0.153,699,500,Medical,60,4,109656.28,2,1
48,Female,Single,Master's,121897.22,Unemployed,0.228,741,5489.98,Other,60,8,79173.86,3,0
31,Female,Divorced,Bachelor's,85713.23,Employed,0.323,701,5799.07,Debt consolidation,60,7,95032.6,1,1
21,Female,Single,Bachelor's,42511.85,Employed,0.232,791,28999.33,Car,36,2,50869.01,0,1
63,Male,Single,Bachelor's,56413.17,Employed,0.377,652,3848.73,Education,36,6,76200.41,2,0
39,Female,Married,Master's,43320.98,Self-employed,0.099,767,3358.44,Debt consolidation,36,5,30798.47,1,1
29,Male,Single,High School,10782.63,Employed,0.316,674,19832.59,Debt consolidation,36,6,12564.23,4,1
47,Female,Divorced,Master's,13756.2,Employed,0.065,743,8642.64,Debt consolidation,36,8,25228.12,0,1
54,Female,Married,Bachelor's,30615.84,Employed,0.219,720,20822.53,Home,36,5,34650.3,1,1
64,Female,Single,Bachelor's,114997.25,Employed,0.214,654,12481,Education,36,2,145898.21,2,1
24,Male,Married,High School,17765.42,Retired,0.193,644,31488.18,Other,36,2,16355.93,0,1
56,Male,Single,Bachelor's,56254.25,Unemployed,0.295,701,4272.74,Car,36,9,88573.55,3,0
38,Male,Married,High School,17173.21,Employed,0.178,799,19886.07,Debt consolidation,36,8,27513.19,1,1
35,Male,Divorced,PhD,62755.51,Self-employed,0.186,702,16550.79,Debt consolidation,60,6,70414.66,0,1
71,Female,Married,Bachelor's,50772.49,Employed,0.039,741,11713.84,Other,60,7,40092.09,0,1
33,Female,Single,Other,17018.89,Employed,0.288,792,12779.15,Other,36,6,28958.04,5,1
39,Male,Single,High School,38934.64,Employed,0.185,720,9033.29,Medical,36,1,21457.39,1,1
69,Male,Single,Bachelor's,53796.65,Self-employed,0.164,695,17186.31,Car,36,4,37019.43,4,1
26,Male,Married,Other,41691.86,Retired,0.194,702,22508.53,Education,36,4,54943.24,2,1
68,Female,Married,High School,74326.33,Unemployed,0.021,586,15630.2,Other,60,12,96802.97,2,0
32,Female,Single,High School,55843.24,Employed,0.193,608,14809.51,Car,36,5,39080.76,1,1
71,Male,Single,Bachelor's,110031,Self-employed,0.199,740,9489.38,Business,36,6,77102.51,3,1
57,Male,Married,Bachelor's,93957.81,Employed,0.168,649,20085.8,Business,36,7,55408.77,3,1
37,Female,Single,High School,48993.32,Employed,0.31,664,24523.01,Debt consolidation,60,8,63830.64,1,1
43,Female,Single,Other,59565.99,Employed,0.079,663,23283.35,Medical,60,2,67140.06,2,1
46,Male,Divorced,Master's,31981.54,Employed,0.311,695,11194.49,Debt consolidation,36,8,33800.98,1,1
49,Female,Single,Bachelor's,46626.81,Employed,0.419,636,22388.48,Home,36,6,45456.53,3,1
53,Female,Married,High School,54350.34,Employed,0.198,667,11813.04,Debt consolidation,36,6,71784.57,2,1
47,Female,Single,High School,26178.88,Self-employed,0.104,806,17000.55,Business,36,6,25196.04,3,1
45,Female,Single,High School,90971.81,Employed,0.277,626,500,Debt consolidation,36,5,140173.12,6,1
75,Male,Married,Bachelor's,28888.13,Employed,0.057,714,19882.32,Education,60,7,28080.59,0,1
30,Female,Married,Bachelor's,43653.04,Employed,0.053,706,17785.38,Business,60,8,30878.8,1,1
67,Male,Married,High School,32563.28,Employed,0.128,620,25141.42,Car,36,4,25929.97,2,1
43,Male,Single,Other,87755.37,Unemployed,0.052,734,8018.83,Debt consolidation,60,1,46206.85,0,1
41,Male,Married,Bachelor's,15891.04,Retired,0.255,647,27411.29,Medical,60,6,15489.81,3,1
41,Male,Married,High School,16858.06,Unemployed,0.045,649,18533.62,Debt consolidation,36,2,22909.07,2,0
63,Male,Single,Master's,25425.66,Unemployed,0.187,687,19261.06,Education,36,3,32824.81,1,0
33,Female,Widowed,High School,28956.36,Employed,0.118,739,29127.09,Debt consolidation,36,2,34892.09,2,1
57,Female,Married,Master's,37532.91,Employed,0.148,836,13878.1,Car,36,5,38047.8,1,1
53,Female,Married,Master's,16868.5,Self-employed,0.105,684,25333.59,Other,36,2,26304.28,0,1
44,Male,Married,Other,42237.04,Self-employed,0.017,768,500,Debt consolidation,36,5,60603.84,1,1
64,Male,Single,Bachelor's,16689.9,Employed,0.171,776,500,Debt consolidation,36,4,13452.06,3,1
31,Female,Married,High School,39392.51,Employed,0.129,770,8247.04,Medical,36,3,35675.12,2,1
37,Male,Married,High School,74194.68,Employed,0.091,715,17566,Debt consolidation,36,13,114778.28,5,1
24,Other,Single,High School,60763.37,Employed,0.133,667,18378.97,Debt consolidation,60,7,51165.65,3,1
67,Male,Married,Master's,29469.07,Employed,0.191,696,20347.87,Car,36,7,50765.61,2,1
45,Female,Single,Master's,25208.49,Retired,0.08,685,10930.04,Education,36,6,25037.48,0,1
50,Male,Single,Other,169700.08,Employed,0.21,732,25565.42,Other,36,6,177530.69,0,1
29,Female,Single,Bachelor's,54950.23,Employed,0.379,719,500,Debt consolidation,36,3,51046.63,2,1
41,Female,Widowed,Master's,53756.99,Unemployed,0.092,672,13415.61,Business,36,1,73017.76,2,0
40,Female,Married,High School,66613.47,Student,0.135,750,500,Debt consolidation,36,3,58574.34,1,1
39,Other,Single,PhD,51139.38,Self-employed,0.216,632,15475.74,Business,60,6,48493.2,4,1
39,Male,Married,High School,50913.8,Retired,0.431,589,16286.58,Debt consolidation,36,5,49922.6,2,0
32,Female,Single,Master's,44991.58,Employed,0.163,743,24643.37,Business,36,5,32129.66,2,1
57,Male,Married,Bachelor's,44152.77,Self-employed,0.013,708,6200.94,Debt consolidation,60,4,61489.01,2,1
62,Female,Married,High School,30766.13,Employed,0.166,719,9384.1,Home,60,5,27424.87,0,1
37,Male,Married,Master's,34840.57,Self-employed,0.238,631,10016.02,Home,60,8,32099.01,1,1
57,Female,Married,PhD,91055.69,Employed,0.175,654,16195.85,Other,36,3,108317.38,1,1
74,Female,Married,Master's,60790.27,Employed,0.174,728,18260.87,Other,36,6,41108.27,3,1
68,Male,Married,Bachelor's,22307.76,Employed,0.296,687,15030.41,Debt consolidation,36,3,22921.99,2,0
59,Male,Married,Bachelor's,63775.51,Employed,0.184,780,9013.43,Debt consolidation,60,5,95242.48,1,1
48,Male,Married,High School,34973.11,Employed,0.175,726,20651.23,Debt consolidation,36,7,29935.8,2,1
61,Female,Married,Master's,23413.69,Employed,0.17,760,6710.69,Debt consolidation,36,6,28009.05,1,1
55,Male,Widowed,High School,46925.77,Employed,0.154,782,500,Car,36,6,52909.08,3,1
67,Female,Married,PhD,21891.29,Employed,0.122,791,11243.21,Other,36,4,33109.53,1,1
68,Female,Married,Bachelor's,21252.8,Employed,0.195,733,30430.74,Debt consolidation,60,4,18737.68,0,1
38,Female,Married,Bachelor's,78889.38,Retired,0.076,760,10379.63,Debt consolidation,36,8,50931.04,4,1
34,Female,Single,Master's,17555.8,Employed,0.148,774,17952.2,Debt consolidation,36,4,16594.48,1,1
55,Male,Single,Bachelor's,41237.91,Employed,0.105,666,8979.56,Other,36,4,53219.17,2,1
64,Female,Married,Bachelor's,62003.72,Employed,0.165,709,16923.62,Business,36,5,45580.38,2,1
61,Female,Married,Bachelor's,22339.8,Employed,0.246,599,11267.55,Other,36,5,17072.86,1,0
27,Other,Married,High School,70797.04,Employed,0.137,660,11410.07,Debt consolidation,36,5,106539.76,2,1
61,Female,Single,Bachelor's,53148.17,Employed,0.158,673,28584.22,Education,36,6,36381.2,1,1
33,Female,Single,High School,288767.91,Unemployed,0.429,755,26138.01,Debt consolidation,36,3,358422.01,1,0
38,Male,Married,Bachelor's,40202.2,Employed,0.06,626,19200.28,Debt consolidation,36,5,50783.88,2,1
57,Female,Single,High School,113360.35,Employed,0.358,648,22341.13,Car,60,5,144522.24,3,1
33,Female,Single,Master's,17887.23,Retired,0.281,653,33674.33,Other,36,3,14938.24,1,1
56,Female,Single,Master's,22963.73,Unemployed,0.085,825,7304.2,Other,60,4,22267.27,1,1
51,Female,Married,PhD,71728.34,Employed,0.127,699,23169.98,Business,36,9,57052.65,1,1
22,Male,Married,High School,26465.76,Employed,0.086,683,10840.66,Debt consolidation,36,5,24469.33,2,1
36,Female,Divorced,Master's,27897.19,Employed,0.145,561,5418.74,Home,36,5,35270.12,3,1
29,Other,Single,PhD,114375.7,Employed,0.288,608,23060.49,Debt consolidation,36,4,80389.58,3,1
29,Male,Married,High School,55577.17,Employed,0.164,668,36971.9,Debt consolidation,60,2,30992.73,1,1
58,Female,Single,Other,51277.96,Employed,0.303,618,12776.96,Vacation,36,5,40196,0,1
31,Male,Single,Bachelor's,43996.17,Retired,0.065,732,20809.28,Car,60,5,35950.63,2,1
74,Female,Married,High School,46661.33,Employed,0.015,678,22264.58,Debt consolidation,36,3,40339.74,1,1
42,Male,Single,Bachelor's,12955.14,Employed,0.261,603,21146.87,Other,36,4,14450.55,5,1
53,Female,Single,High School,40856.74,Employed,0.043,599,25150.02,Debt consolidation,60,2,32335.27,2,1
56,Male,Single,PhD,24375.06,Employed,0.152,661,20610.38,Medical,36,5,35581.68,0,1
65,Female,Single,High School,68085.83,Employed,0.011,580,961.61,Debt consolidation,36,7,76955.58,3,1
43,Male,Married,Bachelor's,24178.65,Employed,0.183,709,13799.36,Debt consolidation,60,8,20425.27,3,1
65,Male,Single,Bachelor's,26472.25,Employed,0.044,618,23891.69,Car,36,6,31724.19,2,1
65,Female,Widowed,Master's,16299.82,Employed,0.116,680,5232.43,Debt consolidation,36,2,23566.09,1,1
54,Male,Married,High School,53941.49,Student,0.092,707,28410.04,Other,36,2,75856.46,3,1
29,Female,Single,Master's,86932.12,Employed,0.353,777,24116.39,Medical,36,3,105579.35,2,1
44,Other,Married,High School,21533.79,Employed,0.134,619,1860.21,Debt consolidation,60,5,29660.4,3,1
28,Female,Married,Master's,24679.99,Employed,0.099,717,24658.23,Debt consolidation,36,5,34913.41,2,1
27,Female,Married,PhD,67016.33,Employed,0.014,684,21637.29,Debt consolidation,60,4,56334.62,2,1
56,Male,Married,High School,35449.17,Self-employed,0.345,628,4848.3,Vacation,36,1,43855.56,4,1
38,Male,Married,High School,41820.09,Employed,0.212,592,11849.74,Home,36,7,47221.38,2,1
23,Female,Single,Bachelor's,50347.14,Unemployed,0.16,713,14920.48,Other,36,5,78111.33,2,0
48,Male,Married,High School,31728.44,Employed,0.289,732,16458.37,Education,60,6,23552.39,2,0
26,Female,Married,High School,29403.13,Employed,0.206,588,17272.82,Other,60,3,33151.22,1,1
64,Male,Married,High School,21039.62,Employed,0.144,587,16617.42,Other,36,9,25925.35,4,0
64,Female,Married,Bachelor's,19830.26,Employed,0.064,636,19129.41,Home,36,6,34262.5,3,1
41,Male,Married,High School,11746.85,Retired,0.256,583,9839.24,Education,36,6,12809.12,3,1
48,Female,Single,Bachelor's,40063.9,Employed,0.236,736,22733.43,Medical,36,7,29171.37,4,1
60,Male,Divorced,Bachelor's,40052.16,Unemployed,0.25,830,10491.34,Debt consolidation,36,2,38436.39,5,0
74,Male,Divorced,Master's,48055.05,Employed,0.132,620,19348.68,Debt consolidation,36,5,51451.85,4,1
74,Female,Single,Other,61845.51,Self-employed,0.229,445,10656.09,Debt consolidation,36,2,45221.78,7,1
21,Male,Single,Bachelor's,41685.15,Employed,0.245,678,13084.83,Home,36,7,64080.8,4,1
56,Female,Married,Bachelor's,15781.88,Employed,0.074,673,16061.79,Home,36,7,19793.36,2,1
41,Female,Married,High School,24067.34,Employed,0.221,827,20930.33,Car,36,4,21785.23,1,1
63,Male,Single,Bachelor's,20062.5,Employed,0.175,643,9248.92,Business,36,6,26403.6,2,0
55,Female,Single,Other,20395.89,Unemployed,0.087,723,500,Debt consolidation,60,3,17101.82,2,1
33,Male,Married,Master's,51010.01,Employed,0.28,646,18032.03,Home,36,4,49979.96,2,1
69,Female,Single,High School,37835.33,Employed,0.185,659,8122.35,Debt consolidation,36,3,36148.66,1,0
74,Female,Single,PhD,21337.71,Unemployed,0.141,643,17734.22,Business,36,3,20082.48,3,0
74,Female,Married,Master's,56369.84,Employed,0.069,696,20873.45,Medical,60,6,80449.47,1,1
30,Male,Married,High School,32086.87,Employed,0.217,663,8281.17,Education,36,3,31540.24,0,1
73,Male,Married,Master's,23297.61,Employed,0.17,762,39572.36,Debt consolidation,36,6,18411.78,2,1
64,Female,Married,High School,46543.87,Employed,0.185,749,10129.39,Other,60,7,36224.14,3,1
67,Male,Married,Bachelor's,82868.81,Employed,0.112,559,5110.84,Debt consolidation,36,3,72447.63,3,1
73,Male,Married,Bachelor's,24827.2,Employed,0.084,749,15312.17,Other,60,2,18731.44,2,1
30,Female,Single,High School,20695.49,Employed,0.383,578,8356.37,Home,60,7,27846.05,4,1
66,Female,Single,Master's,47528.81,Employed,0.264,701,19092.23,Home,36,1,53589.62,1,1
33,Male,Single,Master's,40412.56,Retired,0.164,687,28678.81,Car,36,4,38840.43,4,1
57,Male,Divorced,High School,28072.74,Employed,0.099,633,14327.02,Medical,36,4,40837.06,2,1
58,Male,Married,High School,25282.91,Employed,0.304,747,18684.32,Home,60,3,19517.96,3,1
44,Male,Married,Bachelor's,39719.24,Employed,0.193,758,30133.65,Debt consolidation,36,3,33129.54,0,1
22,Male,Divorced,Master's,18081.37,Employed,0.082,549,7953.32,Debt consolidation,60,2,23757.31,0,1
42,Male,Married,High School,28380.77,Retired,0.01,596,32498.66,Debt consolidation,60,7,29411.63,5,1
37,Other,Divorced,Master's,23960.56,Self-employed,0.38,570,7827.68,Other,36,6,19069.71,4,1
56,Female,Single,Other,20956.02,Retired,0.191,603,500,Business,60,6,27833.65,2,1
34,Male,Married,Bachelor's,42202.8,Employed,0.221,610,20164.95,Home,36,2,46250.86,1,1
30,Male,Married,High School,110472.57,Employed,0.02,660,3832.96,Business,36,6,97860.76,2,1
55,Female,Married,High School,14345.07,Employed,0.202,715,20700.04,Debt consolidation,36,4,13219.11,2,1
45,Male,Single,High School,61051.51,Employed,0.204,741,18884.35,Business,60,7,50539.79,3,1
23,Female,Married,High School,38456.99,Retired,0.313,607,24095.73,Home,60,4,53636.39,0,1
67,Female,Single,Master's,6000,Employed,0.267,728,6303.33,Business,36,5,8000.81,0,1
58,Female,Married,High School,29198.6,Employed,0.153,811,5007.77,Debt consolidation,36,5,33896.48,2,1
37,Male,Married,High School,284292.19,Employed,0.135,755,10224.7,Car,36,3,309390.24,1,1
32,Female,Single,Bachelor's,10628.73,Self-employed,0.149,723,20402.85,Home,36,3,17201.9,0,1
74,Female,Single,Master's,74007.41,Employed,0.046,725,10346.66,Education,60,5,67914.09,1,1
72,Female,Married,High School,46721.22,Employed,0.162,690,5428.31,Debt consolidation,36,5,51090.52,2,1
44,Female,Married,Master's,21127.37,Self-employed,0.115,695,18681.61,Home,36,4,33737.78,1,1
49,Male,Married,Bachelor's,48919.68,Retired,0.203,730,22593.82,Business,60,4,75902.55,6,1
63,Male,Married,Bachelor's,46888.83,Unemployed,0.15,572,15613.73,Home,60,5,57513.38,2,0
45,Female,Married,Master's,34982.23,Unemployed,0.073,609,5730.88,Debt consolidation,60,5,40532.07,1,0
56,Female,Single,High School,30107.12,Unemployed,0.052,636,500,Debt consolidation,60,7,34687.91,2,0
46,Female,Married,Bachelor's,28700.2,Self-employed,0.171,664,7268.12,Education,36,6,20466.5,4,1
58,Female,Married,Master's,43466.25,Unemployed,0.099,603,25090.74,Car,36,7,57888.33,1,0
21,Male,Married,PhD,49615.21,Employed,0.121,784,25997.81,Business,36,5,56083.53,0,1
40,Male,Single,High School,65396.44,Employed,0.32,749,3767.24,Debt consolidation,36,5,89272.14,5,1
75,Female,Single,Bachelor's,32994.56,Employed,0.064,850,15327.95,Home,36,12,33616.57,2,1
48,Male,Single,High School,45046.28,Employed,0.179,650,11759.16,Business,36,5,40957.83,5,1
36,Female,Divorced,Master's,16747.96,Employed,0.041,643,13131.8,Debt consolidation,60,6,26502.03,3,1
67,Male,Married,Master's,12829.33,Employed,0.199,641,16523.1,Other,60,7,24029.18,3,1
37,Female,Single,Bachelor's,28026.79,Employed,0.382,740,8833.01,Home,36,3,34445.87,3,1
60,Female,Single,High School,18101.79,Employed,0.292,795,17076.69,Car,36,5,17389.11,1,1
48,Male,Single,High School,36120.06,Employed,0.033,594,984.91,Other,36,3,47787.73,3,1
32,Male,Married,Bachelor's,46521.58,Employed,0.097,644,21087.35,Debt consolidation,36,4,48285.01,3,1
47,Female,Married,Other,38205.35,Unemployed,0.236,569,26956.91,Other,60,3,52795.17,2,0
74,Other,Married,Master's,26628.41,Student,0.172,708,500,Medical,36,4,36340.13,3,0
73,Female,Single,Master's,21829.2,Employed,0.277,631,7261.44,Debt consolidation,36,3,23850.3,3,1
62,Male,Single,Bachelor's,55581.74,Employed,0.316,595,9015.58,Other,36,4,45396.93,2,1
67,Male,Married,Other,69542.41,Employed,0.087,579,27651.83,Education,36,1,100191.72,1,1
50,Male,Single,Master's,36528.6,Self-employed,0.135,620,500,Other,36,4,30836.67,1,1
61,Male,Married,Bachelor's,22897.76,Retired,0.117,682,5650.86,Business,36,0,28845.88,0,1
54,Female,Single,Master's,56959.37,Employed,0.268,755,11133.84,Home,36,1,68850.6,0,1
57,Female,Single,Bachelor's,17171,Retired,0.246,626,21784.01,Other,36,8,30309.5,2,1
26,Male,Married,Bachelor's,19179.38,Employed,0.118,700,30570.44,Medical,60,5,18055.71,2,1
27,Male,Divorced,Other,53441.23,Employed,0.125,630,18066.88,Education,36,3,33441.89,1,1
52,Male,Single,High School,13874.2,Retired,0.228,579,2587.01,Car,60,3,10005.44,4,1
52,Female,Married,Master's,16900.51,Employed,0.133,790,11612.88,Home,36,2,17675.56,3,1
73,Female,Married,Bachelor's,74925.34,Employed,0.322,810,31005.43,Debt consolidation,36,7,100219.71,3,1
45,Female,Single,Other,13624.81,Unemployed,0.291,835,25870.19,Debt consolidation,36,8,18385.22,3,0
53,Male,Single,High School,29880.99,Employed,0.146,612,9052.66,Debt consolidation,60,6,29301.36,5,1
75,Female,Divorced,Master's,104027.72,Self-employed,0.253,678,6855.98,Debt consolidation,36,4,68329.51,3,0
27,Male,Single,High School,51912.68,Employed,0.029,611,17329.92,Education,36,8,44167.11,0,1
72,Male,Married,High School,19560.64,Unemployed,0.15,596,6944.28,Vacation,36,7,27155.91,2,0
32,Female,Divorced,Bachelor's,44877.74,Self-employed,0.227,739,7095.54,Debt consolidation,60,5,45920.53,4,1
36,Female,Single,Bachelor's,46809.69,Retired,0.208,652,7511.98,Debt consolidation,36,10,37935.23,2,1
36,Male,Single,Other,18744.1,Employed,0.201,656,34846.58,Home,36,4,25404.58,1,1
63,Male,Single,High School,49779.03,Employed,0.251,734,13948.49,Debt consolidation,60,5,31025.95,3,1
73,Male,Single,High School,80372.85,Self-employed,0.087,647,18179.45,Debt consolidation,60,1,46492.81,3,1
56,Male,Single,High School,93377.99,Employed,0.101,578,9882.56,Other,60,2,72823.49,1,1
33,Female,Married,Bachelor's,47582.08,Employed,0.199,789,11990.36,Business,60,4,63553.66,4,1
27,Female,Married,High School,59219.91,Employed,0.331,707,500,Debt consolidation,60,2,43682.6,1,1
56,Male,Married,Other,21136.32,Retired,0.134,758,15212.82,Car,60,6,17570.13,0,1
67,Male,Divorced,Bachelor's,102355,Employed,0.202,599,28378.3,Other,60,9,96763.88,0,1
71,Male,Single,Master's,21406.57,Student,0.054,739,23695.56,Car,36,6,17274.43,6,1
29,Female,Single,Master's,24211.36,Employed,0.059,702,13602.24,Business,36,8,32710.71,1,1
52,Male,Single,Bachelor's,28227.89,Employed,0.073,655,23820.98,Business,36,4,30580.5,2,1
31,Female,Single,PhD,26502.32,Employed,0.175,787,27912.74,Education,36,6,44222.78,2,1
28,Male,Single,PhD,18049.14,Self-employed,0.245,675,5268.13,Home,60,6,33026.41,0,1
53,Female,Married,High School,30642.55,Retired,0.01,669,21680.21,Education,36,3,37386.79,4,1
43,Female,Married,PhD,90822.56,Employed,0.117,692,955.71,Education,36,4,134517.95,1,1
45,Female,Divorced,Bachelor's,24883.34,Employed,0.144,645,5591.73,Car,60,4,29788.98,2,1
28,Female,Single,High School,25595.6,Employed,0.249,650,25023.91,Business,36,4,38067.37,2,1
65,Female,Married,Bachelor's,84632.47,Employed,0.145,641,22979.31,Debt consolidation,60,9,77492.58,0,1
42,Female,Married,High School,10991.55,Employed,0.127,656,13559.99,Business,60,8,17338.91,1,1
24,Male,Single,Bachelor's,59200.31,Employed,0.187,657,17573.65,Debt consolidation,60,6,69280.1,3,1
60,Male,Single,Master's,31887.55,Unemployed,0.138,718,7087.81,Debt consolidation,36,5,34024.94,0,0
23,Male,Widowed,High School,48710.52,Self-employed,0.072,627,19906.5,Home,60,11,57312.91,3,1
49,Female,Married,High School,43583.13,Employed,0.179,672,23958.48,Debt consolidation,36,9,45898.31,2,1
61,Female,Widowed,Other,83550.47,Employed,0.214,621,500,Debt consolidation,36,9,82749.81,2,1
49,Male,Married,Bachelor's,18404.42,Employed,0.216,819,647.51,Debt consolidation,36,4,21263.02,1,1
54,Female,Single,Bachelor's,16258.82,Employed,0.046,787,13296.11,Home,36,0,16337.13,1,1
54,Female,Single,Other,45086.36,Employed,0.089,766,27306.87,Other,60,3,69945.05,0,1
48,Female,Widowed,PhD,18492.83,Employed,0.263,657,500,Debt consolidation,60,3,30294.44,2,1
33,Female,Single,High School,59136.3,Employed,0.031,599,15394.41,Debt consolidation,60,5,61843.6,2,1
35,Female,Single,Bachelor's,47212.12,Unemployed,0.213,677,5941.46,Debt consolidation,36,5,32363.3,3,0
43,Male,Married,PhD,44516.02,Self-employed,0.151,588,500,Other,60,3,52966.59,2,1
64,Male,Single,High School,24254.93,Employed,0.155,632,26479.91,Vacation,36,3,19179.39,2,0
46,Female,Single,Bachelor's,35613.03,Employed,0.039,682,21815.32,Debt consolidation,36,1,52458.52,2,1
24,Male,Married,Bachelor's,31545.14,Employed,0.121,667,27901.77,Debt consolidation,36,1,44373.09,1,1
46,Male,Single,Master's,100663.02,Employed,0.097,538,2817.55,Debt consolidation,36,2,82341.68,0,1
60,Female,Single,High School,30759.05,Unemployed,0.335,718,5015.11,Debt consolidation,60,2,27800.57,3,0
29,Female,Single,Bachelor's,24373.43,Employed,0.169,506,14225.08,Other,36,3,31087.67,1,1
75,Female,Married,High School,67005.12,Employed,0.136,594,17788.58,Car,60,3,99530.18,2,1
25,Male,Single,High School,20608.91,Employed,0.039,550,17571.01,Debt consolidation,36,10,30633.12,2,1
52,Female,Single,High School,108511.97,Employed,0.014,746,3099.91,Car,36,2,57931.89,1,1
40,Male,Married,High School,13976.7,Self-employed,0.103,601,21697.68,Debt consolidation,36,5,15727.71,2,1
70,Male,Single,Master's,106351.94,Employed,0.19,538,3609.35,Debt consolidation,36,4,75615.5,5,1
31,Female,Single,PhD,36507.17,Retired,0.59,767,17471.44,Medical,60,7,43618.31,1,1
35,Male,Married,Master's,28399.86,Employed,0.276,819,11132.24,Debt consolidation,36,4,23636.13,2,1
52,Male,Single,Bachelor's,103452.06,Self-employed,0.168,754,25556.71,Car,36,7,90140.35,3,1
48,Female,Single,High School,31054.87,Employed,0.056,724,32378.42,Debt consolidation,36,7,23811.69,3,1
42,Male,Married,High School,19536.44,Unemployed,0.306,589,17932.32,Other,36,5,31511.79,4,0
61,Female,Married,Bachelor's,35016.52,Employed,0.373,549,25208.09,Debt consolidation,36,2,51987.48,5,1
37,Female,Married,Master's,53026.34,Employed,0.301,587,500,Debt consolidation,36,4,54656.49,0,1
46,Other,Married,High School,34665.84,Unemployed,0.097,652,14444.1,Business,60,1,19786.55,3,0
64,Male,Married,Other,30479.65,Employed,0.42,744,4371.62,Debt consolidation,36,5,38407.73,2,1
27,Female,Married,Master's,30112.64,Employed,0.471,537,6349.1,Business,36,9,29742.11,3,1
62,Male,Single,Other,51487.6,Employed,0.363,604,9337.25,Debt consolidation,36,3,63427.71,1,0
46,Female,Single,Bachelor's,18061.5,Employed,0.169,645,23512.38,Business,36,5,21422.3,2,1
45,Male,Married,Bachelor's,47551.15,Employed,0.112,566,2678.13,Home,60,2,40580.79,0,1
30,Male,Single,High School,90675.96,Employed,0.058,694,21544.43,Car,36,6,108294.47,1,1
65,Female,Married,Bachelor's,85062.92,Employed,0.036,626,11975.15,Car,60,3,80664.17,3,1
39,Male,Single,Other,88137.22,Employed,0.014,626,7892.22,Debt consolidation,36,7,83314.98,2,1
31,Male,Single,High School,21591.64,Employed,0.184,571,11750.79,Debt consolidation,60,7,31882.32,5,1
33,Male,Married,High School,99261.71,Self-employed,0.2,718,2387.88,Education,36,5,141716.35,1,1
73,Female,Single,High School,33248.95,Employed,0.051,659,4812.25,Business,36,6,46522.56,2,1
28,Male,Married,Other,46498.87,Employed,0.085,745,23628.24,Debt consolidation,60,3,36698.75,1,1
60,Male,Single,High School,36641.83,Employed,0.135,688,11168.84,Debt consolidation,36,4,52487.13,4,1
24,Male,Single,Master's,24693.44,Employed,0.171,703,23999.38,Other,36,8,38127.25,4,1
67,Female,Single,High School,39931.47,Unemployed,0.257,705,19862.36,Debt consolidation,36,5,54644,0,0
51,Female,Single,Master's,58368.08,Employed,0.235,682,25458.42,Education,36,5,35411.93,3,1
48,Male,Widowed,Bachelor's,51100.18,Self-employed,0.01,755,6690.18,Business,36,3,60896.39,5,1
31,Male,Married,High School,46175.66,Self-employed,0.062,850,23539.24,Debt consolidation,36,5,61528.96,0,1
63,Male,Married,Master's,22264.91,Self-employed,0.088,771,18570.85,Education,36,4,34082.15,1,1
21,Male,Married,Master's,33133.55,Self-employed,0.265,564,14756.28,Debt consolidation,36,4,28737.92,5,0
69,Male,Married,Bachelor's,42415.76,Employed,0.046,656,500,Car,36,5,45690.94,1,1
67,Female,Single,Master's,13912.55,Unemployed,0.167,647,12475.33,Debt consolidation,36,8,23926.71,4,0
72,Female,Single,High School,52147.67,Self-employed,0.071,713,18135.48,Debt consolidation,36,6,72313.55,1,1
58,Female,Married,Other,46766.38,Employed,0.05,757,10198.92,Education,36,6,55967.39,1,1
44,Male,Single,High School,85857.07,Employed,0.127,556,17392.79,Debt consolidation,60,3,76972.59,4,1
74,Female,Single,High School,27988.97,Employed,0.167,687,13417.19,Debt consolidation,60,6,29124.99,3,1
67,Female,Married,High School,34899.63,Employed,0.218,778,8762.54,Business,36,4,28555.8,1,1
51,Female,Single,High School,36239.83,Employed,0.263,626,25927.23,Education,36,6,52531.17,2,0
61,Female,Single,Bachelor's,54743.29,Retired,0.512,843,500,Debt consolidation,36,4,43055.83,4,1
66,Male,Single,Bachelor's,27835.76,Unemployed,0.328,593,14894.65,Medical,36,9,23637.25,3,0
70,Male,Married,Bachelor's,76731.44,Employed,0.187,700,10561.95,Debt consolidation,36,7,75066.57,2,1
46,Female,Single,High School,31749.57,Employed,0.197,719,500,Debt consolidation,36,7,46071.93,1,1
69,Male,Married,High School,41688.43,Employed,0.053,675,7332.78,Debt consolidation,36,2,43421.34,1,1
70,Male,Single,Master's,23656.86,Self-employed,0.066,602,5301.93,Debt consolidation,36,8,32724.1,2,1
